oa,lsoa,msoa,la
E00076631,E01015172,E02003150,Plymouth
E00076549,E01015153,E02003150,Plymouth
E00076556,E01015152,E02003148,Plymouth
E00076557,E01015155,E02003150,Plymouth
E00076666,E01015172,E02003150,Plymouth
E00076668,E01015169,E02003145,Plymouth
E00076628,E01015172,E02003150,Plymouth
E00076670,E01015172,E02003150,Plymouth
E00076661,E01015173,E02003145,Plymouth
E00076657,E01015173,E02003145,Plymouth
E00076656,E01015171,E02003141,Plymouth
E00076021,E01015044,E02003141,Plymouth
E00076024,E01015045,E02003147,Plymouth
E00076023,E01015043,E02003147,Plymouth
E00076655,E01015171,E02003141,Plymouth
E00076020,E01015044,E02003141,Plymouth
E00075976,E01015043,E02003147,Plymouth
E00076654,E01015170,E02003145,Plymouth
E00076015,E01015044,E02003141,Plymouth
E00076649,E01015167,E02003141,Plymouth
E00076017,E01015044,E02003141,Plymouth
E00076651,E01015167,E02003141,Plymouth
E00076647,E01015168,E02003141,Plymouth
E00076018,E01015043,E02003147,Plymouth
E00076019,E01015044,E02003141,Plymouth
E00076652,E01015170,E02003145,Plymouth
E00076644,E01015171,E02003141,Plymouth
E00076642,E01015168,E02003141,Plymouth
E00076646,E01015167,E02003141,Plymouth
E00076640,E01015168,E02003141,Plymouth
E00076638,E01015167,E02003141,Plymouth
E00076012,E01015042,E02003141,Plymouth
E00076013,E01015041,E02003135,Plymouth
E00076014,E01015043,E02003147,Plymouth
E00076005,E01015040,E02003135,Plymouth
E00076006,E01015042,E02003141,Plymouth
E00076003,E01015040,E02003135,Plymouth
E00076011,E01015042,E02003141,Plymouth
E00076007,E01015041,E02003135,Plymouth
E00076010,E01015042,E02003141,Plymouth
E00076009,E01015042,E02003141,Plymouth
E00076008,E01015041,E02003135,Plymouth
E00076636,E01015168,E02003141,Plymouth
E00076639,E01015168,E02003141,Plymouth
E00076635,E01015167,E02003141,Plymouth
E00076016,E01015043,E02003147,Plymouth
E00076004,E01015040,E02003135,Plymouth
E00075998,E01015039,E02003135,Plymouth
E00075999,E01015040,E02003135,Plymouth
E00076001,E01015040,E02003135,Plymouth
E00076172,E01015075,E02003135,Plymouth
E00075995,E01015039,E02003135,Plymouth
E00076167,E01015075,E02003135,Plymouth
E00076176,E01015075,E02003135,Plymouth
E00076002,E01015041,E02003135,Plymouth
E00076179,E01015080,E02003134,Plymouth
E00075997,E01015039,E02003135,Plymouth
E00076000,E01015041,E02003135,Plymouth
E00075996,E01015039,E02003135,Plymouth
E00076181,E01015072,E02003134,Plymouth
E00076169,E01015078,E02003134,Plymouth
E00076175,E01015080,E02003134,Plymouth
E00076170,E01015080,E02003134,Plymouth
E00076173,E01015073,E02003134,Plymouth
E00076163,E01015079,E02003132,Plymouth
E00076162,E01015073,E02003134,Plymouth
E00076153,E01015073,E02003134,Plymouth
E00076140,E01015073,E02003134,Plymouth
E00076143,E01015078,E02003134,Plymouth
E00076180,E01015080,E02003134,Plymouth
E00076182,E01015072,E02003134,Plymouth
E00076183,E01015078,E02003134,Plymouth
E00076161,E01015074,E02003132,Plymouth
E00076158,E01015073,E02003134,Plymouth
E00076142,E01015072,E02003134,Plymouth
E00076177,E01015078,E02003134,Plymouth
E00076178,E01015078,E02003134,Plymouth
E00076164,E01015079,E02003132,Plymouth
E00076174,E01015079,E02003132,Plymouth
E00076312,E01015104,E02003132,Plymouth
E00076171,E01015079,E02003132,Plymouth
E00076168,E01015079,E02003132,Plymouth
E00076166,E01015077,E02003132,Plymouth
E00076645,E01015174,E02003145,Plymouth
E00076641,E01015174,E02003145,Plymouth
E00076637,E01015174,E02003145,Plymouth
E00076627,E01015174,E02003145,Plymouth
E00076643,E01015174,E02003145,Plymouth
E00076296,E01015106,E02003134,Plymouth
E00076145,E01015072,E02003134,Plymouth
E00076284,E01015106,E02003134,Plymouth
E00076299,E01015099,E02003138,Plymouth
E00076272,E01015102,E02003132,Plymouth
E00076290,E01015106,E02003134,Plymouth
E00076283,E01015104,E02003132,Plymouth
E00076278,E01015104,E02003132,Plymouth
E00076157,E01015077,E02003132,Plymouth
E00076292,E01015106,E02003134,Plymouth
E00076288,E01015104,E02003132,Plymouth
E00076144,E01015072,E02003134,Plymouth
E00076286,E01015104,E02003132,Plymouth
E00076309,E01015102,E02003132,Plymouth
E00076276,E01015102,E02003132,Plymouth
E00076308,E01015102,E02003132,Plymouth
E00076310,E01015103,E02003138,Plymouth
E00076274,E01015103,E02003138,Plymouth
E00076313,E01015103,E02003138,Plymouth
E00076279,E01015102,E02003132,Plymouth
E00076155,E01015074,E02003132,Plymouth
E00076151,E01015074,E02003132,Plymouth
E00076156,E01015074,E02003132,Plymouth
E00076150,E01015077,E02003132,Plymouth
E00076141,E01015074,E02003132,Plymouth
E00076165,E01015077,E02003132,Plymouth
E00076152,E01015077,E02003132,Plymouth
E00076650,E01015170,E02003145,Plymouth
E00076653,E01015170,E02003145,Plymouth
E00076659,E01015170,E02003145,Plymouth
E00076304,E01015100,E02003138,Plymouth
E00076660,E01015169,E02003145,Plymouth
E00172067,E01015169,E02003145,Plymouth
E00076663,E01015169,E02003145,Plymouth
E00076658,E01015170,E02003145,Plymouth
E00076300,E01015100,E02003138,Plymouth
E00076303,E01015099,E02003138,Plymouth
E00076285,E01015098,E02003138,Plymouth
E00076648,E01015169,E02003145,Plymouth
E00076306,E01015100,E02003138,Plymouth
E00076301,E01015100,E02003138,Plymouth
E00076293,E01015099,E02003138,Plymouth
E00076298,E01015098,E02003138,Plymouth
E00076302,E01015099,E02003138,Plymouth
E00076297,E01015099,E02003138,Plymouth
E00076291,E01015105,E02003138,Plymouth
E00076281,E01015105,E02003138,Plymouth
E00076287,E01015105,E02003138,Plymouth
E00076270,E01015105,E02003138,Plymouth
E00076295,E01015098,E02003138,Plymouth
E00076294,E01015098,E02003138,Plymouth
E00076282,E01015105,E02003138,Plymouth
E00076289,E01015098,E02003138,Plymouth
E00076277,E01015103,E02003138,Plymouth
E00076271,E01015103,E02003138,Plymouth
E00076305,E01015100,E02003138,Plymouth
E00075955,E01015032,E02003144,Plymouth
E00075947,E01015031,E02003144,Plymouth
E00075971,E01015034,E02003137,Plymouth
E00075942,E01015034,E02003137,Plymouth
E00075951,E01015031,E02003144,Plymouth
E00075944,E01015038,E02003137,Plymouth
E00076073,E01015061,E02003146,Plymouth
E00075937,E01015038,E02003137,Plymouth
E00076275,E01015101,E02003137,Plymouth
E00075946,E01015038,E02003137,Plymouth
E00075943,E01015034,E02003137,Plymouth
E00075941,E01015037,E02003133,Plymouth
E00075974,E01015036,E02003137,Plymouth
E00075967,E01015036,E02003137,Plymouth
E00075972,E01015038,E02003137,Plymouth
E00075975,E01015038,E02003137,Plymouth
E00075965,E01015035,E02003133,Plymouth
E00075940,E01015037,E02003133,Plymouth
E00075970,E01015036,E02003137,Plymouth
E00075962,E01015036,E02003137,Plymouth
E00075959,E01015036,E02003137,Plymouth
E00075961,E01015034,E02003137,Plymouth
E00075957,E01015033,E02003137,Plymouth
E00076273,E01015101,E02003137,Plymouth
E00076311,E01015101,E02003137,Plymouth
E00076280,E01015101,E02003137,Plymouth
E00075939,E01015033,E02003137,Plymouth
E00075938,E01015033,E02003137,Plymouth
E00075956,E01015033,E02003137,Plymouth
E00076307,E01015101,E02003137,Plymouth
E00075958,E01015033,E02003137,Plymouth
E00076066,E01015060,E02003142,Plymouth
E00076072,E01015060,E02003142,Plymouth
E00076071,E01015059,E02003142,Plymouth
E00076070,E01015059,E02003142,Plymouth
E00076069,E01015056,E02003142,Plymouth
E00076089,E01015063,E02003131,Plymouth
E00076059,E01015056,E02003142,Plymouth
E00076097,E01015060,E02003142,Plymouth
E00076068,E01015059,E02003142,Plymouth
E00076067,E01015059,E02003142,Plymouth
E00076064,E01015057,E02003142,Plymouth
E00076060,E01015059,E02003142,Plymouth
E00076062,E01015057,E02003142,Plymouth
E00076065,E01015057,E02003142,Plymouth
E00076063,E01015056,E02003142,Plymouth
E00076053,E01015056,E02003142,Plymouth
E00076058,E01015055,E02003142,Plymouth
E00076061,E01015058,E02003133,Plymouth
E00076093,E01015057,E02003142,Plymouth
E00076087,E01015055,E02003142,Plymouth
E00076057,E01015057,E02003142,Plymouth
E00076092,E01015055,E02003142,Plymouth
E00076056,E01015055,E02003142,Plymouth
E00076090,E01015056,E02003142,Plymouth
E00076096,E01015055,E02003142,Plymouth
E00075973,E01015037,E02003133,Plymouth
E00076091,E01015056,E02003142,Plymouth
E00076094,E01015058,E02003133,Plymouth
E00076095,E01015058,E02003133,Plymouth
E00076055,E01015058,E02003133,Plymouth
E00075969,E01015037,E02003133,Plymouth
E00075968,E01015037,E02003133,Plymouth
E00075966,E01015035,E02003133,Plymouth
E00075960,E01015035,E02003133,Plymouth
E00075964,E01015035,E02003133,Plymouth
E00075963,E01015035,E02003133,Plymouth
E00076084,E01015063,E02003131,Plymouth
E00076088,E01015063,E02003131,Plymouth
E00076085,E01015063,E02003131,Plymouth
E00076086,E01015063,E02003131,Plymouth
E00172069,E01032657,E02003148,Plymouth
E00172052,E01032657,E02003148,Plymouth
E00172065,E01032657,E02003148,Plymouth
E00076564,E01032657,E02003148,Plymouth
E00076709,E01015182,E02003149,Plymouth
E00076688,E01015182,E02003149,Plymouth
E00076553,E01032657,E02003148,Plymouth
E00076707,E01015182,E02003149,Plymouth
E00076710,E01015182,E02003149,Plymouth
E00076711,E01015182,E02003149,Plymouth
E00076705,E01015180,E02003149,Plymouth
E00172058,E01015051,E02003144,Plymouth
E00076032,E01015051,E02003144,Plymouth
E00076031,E01015051,E02003144,Plymouth
E00076041,E01015050,E02003144,Plymouth
E00172059,E01015051,E02003144,Plymouth
E00076038,E01015050,E02003144,Plymouth
E00076036,E01015051,E02003144,Plymouth
E00076033,E01015050,E02003144,Plymouth
E00076689,E01015178,E02003146,Plymouth
E00076034,E01015049,E02003144,Plymouth
E00076052,E01015050,E02003144,Plymouth
E00172050,E01015054,E02003148,Plymouth
E00076030,E01015049,E02003144,Plymouth
E00076050,E01015049,E02003144,Plymouth
E00076051,E01015049,E02003144,Plymouth
E00075948,E01015032,E02003144,Plymouth
E00075950,E01015031,E02003144,Plymouth
E00075952,E01015031,E02003144,Plymouth
E00076081,E01015062,E02003146,Plymouth
E00075953,E01015032,E02003144,Plymouth
E00075954,E01015032,E02003144,Plymouth
E00076075,E01015062,E02003146,Plymouth
E00076037,E01015052,E02003149,Plymouth
E00076035,E01015050,E02003144,Plymouth
E00076077,E01015062,E02003146,Plymouth
E00076076,E01015061,E02003146,Plymouth
E00076074,E01015061,E02003146,Plymouth
E00076080,E01015061,E02003146,Plymouth
E00076054,E01015060,E02003142,Plymouth
E00076079,E01015060,E02003142,Plymouth
E00076048,E01015053,E02003148,Plymouth
E00076083,E01015062,E02003146,Plymouth
E00076045,E01015052,E02003149,Plymouth
E00076078,E01015062,E02003146,Plymouth
E00076082,E01015061,E02003146,Plymouth
E00076673,E01015175,E02003146,Plymouth
E00076674,E01015178,E02003146,Plymouth
E00076714,E01015175,E02003146,Plymouth
E00076715,E01015175,E02003146,Plymouth
E00076712,E01015176,E02003142,Plymouth
E00076679,E01015176,E02003142,Plymouth
E00076671,E01015178,E02003146,Plymouth
E00076716,E01015175,E02003146,Plymouth
E00076042,E01015053,E02003148,Plymouth
E00172055,E01032658,E02003148,Plymouth
E00172054,E01032658,E02003148,Plymouth
E00172051,E01015054,E02003148,Plymouth
E00076029,E01015053,E02003148,Plymouth
E00172049,E01015054,E02003148,Plymouth
E00076027,E01015052,E02003149,Plymouth
E00076040,E01015052,E02003149,Plymouth
E00076678,E01015177,E02003146,Plymouth
E00076039,E01015052,E02003149,Plymouth
E00076028,E01015054,E02003148,Plymouth
E00076043,E01015052,E02003149,Plymouth
E00076047,E01015053,E02003148,Plymouth
E00076690,E01015179,E02003149,Plymouth
E00076675,E01015179,E02003149,Plymouth
E00076691,E01015179,E02003149,Plymouth
E00076695,E01015179,E02003149,Plymouth
E00076683,E01015178,E02003146,Plymouth
E00076693,E01015178,E02003146,Plymouth
E00076680,E01015178,E02003146,Plymouth
E00076687,E01015177,E02003146,Plymouth
E00076676,E01015175,E02003146,Plymouth
E00076684,E01015177,E02003146,Plymouth
E00076677,E01015175,E02003146,Plymouth
E00076685,E01015177,E02003146,Plymouth
E00076699,E01015181,E02003149,Plymouth
E00076696,E01015180,E02003149,Plymouth
E00076702,E01015181,E02003149,Plymouth
E00076697,E01015179,E02003149,Plymouth
E00076692,E01015177,E02003146,Plymouth
E00076682,E01015177,E02003146,Plymouth
E00076686,E01015176,E02003142,Plymouth
E00076713,E01015176,E02003142,Plymouth
E00076681,E01015176,E02003142,Plymouth
